unique_id,power_plant_name,country,country_iso3c,bri_country,region,subregion,province,city,installed_capacity,commissioning_year,primary_fuel,latitude,longitude,duplicate_power_plant,investment_type,investment_cofinanced_bu,debt_investment_averaged,debt_investment_weighted,equity_investment_weighted,total_investment_amount,equity_investor_name_1,equity_investor_amount_1,equity_investor_name_2,equity_investor_amount_2,equity_investment_type,equity_investment_year,parent_company_of_investor,SOE_or_POE,debt_investment_year,debt_investment_amount,number_of_lenders,bank_of_china,china_development_bank,export_import_bank_of_china,industrial_and_commercial_bank_of_china,china_construction_bank,bank_of_communications,agricultural_bank_of_china,china_citic_bank_corp,china_merchants_bank,china_minsheng_banking_corp,china_zheshang_bank,china_everbright_bank,silk_road_fund,china_co-financing_fund_for_latin_america_and_the_caribbean,compid,unit_id,location_id.x,gppd_id,fdi_id,rma_id,bu_id,sais_id,iad_id,r_id,ij_id,cgp_id,RE/Fossil
ARG2023010,CAUCHARI SOLAR,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Jujuy,Puesto Sey - Susques,315,2019,solar pv,,,N,Debt,,N,N,,331.5,,,,,,,,,2017,331.5,,,,331.5,,,,,,,,,,,,1056527,1294568; 1294569;1294570,1125475,,,,218,,,,,AR.001.1; AR.001.2,RE
ARG2023011,GARCIA DEL RIO,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Buenos Aires,Tornquist,10,2019,onshore wind,,,N,Equity,,,,,,Envision Energy Co Ltd,,,,Greenfield,,Envision Energy International Ltd,POE,,,,,,,,,,,,,,,,,,1049399,1285135,1118549,,,,,,,,,AR.F.002,RE
ARG2023012,MALAL ANTU NEWEN-I,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Neuquen,El Alamito - Chos Malal Dist,20,2022,solar pv,,,N,Equity,,,,,,Jinko Solar Co Ltd,,,,M&A,,JinkoSolar Holding Co Ltd,POE,,,,,,,,,,,,,,,,,,1061196,1270516,1108852,,,,,,,,,AR.F.006,RE
ARG2023013,PE LOMA BLANCA I-IV,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Chubut,Trelew,,,onshore wind,,,Y,Debt,,Y,N,,90,,,,,,,,,2022,90,,90,,,,,,,,,,,,,,1057498,1310409; 1310410; 1310411; 1310407,1136727,,,,,,,,61002,,RE
ARG2023014,PE VIENTOS DE MIRAMAR,Argentina,ARG,Y,Americas,Latin America and the Caribbean,Buenos Aires,Mechongue - General Alvarado,100,2020,onshore wind,,,N,Equity,,,,,,Xinjiang Goldwind Science & Technology Co ltd ,,,,Greenfield,,Xinjiang Goldwind Science & Technology Co ltd ,POE,,,,,,,,,,,,,,,,,,1057498,1298494,1128124,,,,,,,,,AR.F.004,RE
ARG2023015,General Lavalle ,Argentina,ARG,Y,Americas,Latin America and the Caribbean,,,155,,onshore wind,,,N,Debt,,Y,N,,8.33,,,,,,,,,2023,8.33,,,,,8.33,,,,,,,,,,,,,,,,,,,,,65092,,RE
ATG2023001,WADADLI,Antigua and Barbuda,ATG,Y,Americas,Latin America and the Caribbean,Antigua,Crabbs - St Peter Parish,33,2011,oil ,,,N,debt,,N,N,,43.7,,,,,,,,,2008,43.7,,,,43.7,,,,,,,,,,,,1000286,1202399,1068974,,,,400,,,,,,Fossil
BEN2021001,ADJARALA (MONO RIVER),Benin,BEN,Y,Africa,Sub-Saharan Africa,,,147,2021,hydro,,,N,Debt,,N,N,,229,,,,,,,,,2015,229,,,,229,,,,,,,,,,,,,,,,,,,,,,41046,,RE
BGD2021001,CHAPAI NAWABGANJ,Bangladesh,BGD,Y,Asia,Southern Asia,Rajshahi,Chapai Nawabganj Dist,100,2017,oil ,,,N,Equity,,,,,,Power Construction Corporation of China,,,,Greenfield,,Power Construction Corporation of China,SOE,,,,,,,,,,,,,,,,,,1049882,1239877,1081476,,,,,,,,,BD.F.003,Fossil
BGD2021003,HARIPUR POWER,Bangladesh,BGD,Y,Asia,Southern Asia,Dhaka,Haripur - Narayanganj Dist,360,2001,gas,,,N,Equity,,,,,,China General Nuclear Power Corp,,,,M&A,,China General Nuclear Power Corp,SOE,,,,,,,,,,,,,,,,,,1034506,1159725; 1172084,1038327,,,,,,,,30607,BD.F.001.1; BD.F.001.2,Fossil
